"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"51","","","V2","C","0","00:00:00:00","00:00:00:00","01:45:30:44","01:46:50:29","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 21","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"52","","","V2","C","0","00:00:00:00","00:00:00:00","01:51:02:18","01:51:42:16","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 21","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"53","","","V1","D","12","01:52:08:38","01:52:09:00","01:52:08:38","01:52:09:00","Cross Dissolve","","","","","","0.000","","","","",""
"54","","","A1","D","12","01:52:08:38","01:52:09:00","01:52:08:38","01:52:09:00","Cross Fade 0 dB","","","","","","0.000","","","","",""
"55","","","V1","C","","00:52:39:20","00:52:42:08","01:52:08:44","01:52:11:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"56","","","A1","C","","00:52:39:20","00:52:42:08","01:52:08:44","01:52:11:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"57","","","V1","D","14","01:52:11:12","01:52:11:26","01:52:11:12","01:52:11:26","Cross Dissolve","","","","","","0.000","","","","",""
"58","","","A1","D","14","01:52:11:12","01:52:11:26","01:52:11:12","01:52:11:26","Cross Fade 0 dB","","","","","","0.000","","","","",""
"59","","","V1","C","","00:52:42:08","00:54:25:11","01:52:11:19","01:53:54:25","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"60","","","A1","C","","00:52:42:08","00:54:25:11","01:52:11:19","01:53:54:25","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"61","","","A2","C","","00:24:01:21","00:25:18:09","01:52:30:34","01:53:47:22","The Silent Forest - Chillstep Mix","","00:00:00:00","01:02:23:47","01:02:23:47","","50.000","","","","",""
"62","","","V2","C","0","00:00:00:00","00:00:00:00","01:52:33:22","01:54:35:40","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 22","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"63","","","A2","D","120","01:53:46:12","01:53:48:32","01:53:46:12","01:53:48:32","Cross Fade 0 dB","","","","","","0.000","","","","",""
"64","","","A2","C","","00:25:18:09","00:28:10:44","01:53:47:22","01:56:40:07","The Silent Forest - Chillstep Mix","","00:00:00:00","01:02:23:47","01:02:23:47","","50.000","","","","",""
"65","","","V1","D","12","01:53:54:19","01:53:54:31","01:53:54:19","01:53:54:31","Cross Dissolve","","","","","","0.000","","","","",""
"66","","","A1","D","12","01:53:54:19","01:53:54:31","01:53:54:19","01:53:54:31","Cross Fade 0 dB","","","","","","0.000","","","","",""
"67","","","V1","C","","00:54:25:11","00:54:30:19","01:53:54:25","01:53:59:43","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"68","","","A1","C","","00:54:25:11","00:54:30:19","01:53:54:25","01:53:59:43","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"69","","","V1","D","12","01:53:59:37","01:53:59:49","01:53:59:37","01:53:59:49","Cross Dissolve","","","","","","0.000","","","","",""
"70","","","A1","D","12","01:53:59:37","01:53:59:49","01:53:59:37","01:53:59:49","Cross Fade 0 dB","","","","","","0.000","","","","",""
"71","","","V1","C","","00:54:30:19","00:57:21:08","01:53:59:43","01:56:50:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"72","","","A1","C","","00:54:30:19","00:57:21:08","01:53:59:43","01:56:50:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"73","","","V2","D","20","01:54:35:20","01:54:35:40","01:54:35:20","01:54:35:40","Cross Fade 0 dB","","","","","","0.000","","","","",""
"74","","","V1","D","20","01:56:50:09","01:56:50:29","01:56:50:09","01:56:50:29","Cross Dissolve","","","","","","0.000","","","","",""
"75","","","V2","C","0","00:00:00:00","00:00:00:00","01:56:50:09","01:57:03:48","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 23","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"76","","","A1","D","20","01:56:50:09","01:56:50:29","01:56:50:09","01:56:50:29","Cross Fade 0 dB","","","","","","0.000","","","","",""
"77","","","V1","C","","00:58:06:10","00:58:34:08","01:56:50:19","01:57:18:14","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"78","","","A1","C","","00:58:06:10","00:58:34:08","01:56:50:19","01:57:18:14","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"79","","","A2","C","","00:29:25:36","00:30:14:41","01:57:13:15","01:58:02:21","The Silent Forest - Chillstep Mix","","00:00:00:00","01:02:23:47","01:02:23:47","","50.000","","","","",""
"80","","","V1","D","35","01:57:17:29","01:57:18:14","01:57:17:29","01:57:18:14","Cross Dissolve","","","","","","0.000","","","","",""
"81","","","V2","C","0","00:00:00:00","00:00:00:00","01:57:17:29","01:57:27:17","Thanks_for_watching","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","1920x1080","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"82","","","A1","D","35","01:57:17:29","01:57:18:14","01:57:17:29","01:57:18:14","Cross Fade 0 dB","","","","","","0.000","","","","",""
"83","","","V2","D","84","01:57:26:25","01:57:28:09","01:57:26:25","01:57:28:09","Cross Dissolve","","","","","","0.000","","","","",""
"84","","","V2","C","0","00:00:00:00","00:00:00:00","01:57:27:17","01:57:43:09","CHERET-Film","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","1920x1080","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"85","","","V2","D","12","01:57:43:03","01:57:43:15","01:57:43:03","01:57:43:15","Cross Dissolve","","","","","","0.000","","","","",""
"86","","","V2","C","0","00:00:00:00","00:00:00:00","01:57:43:09","01:58:02:21","Like_Subscribe","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","1920x1080","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
